t_ros,u_cmd_L,u_cmd_R,p_ch_L,p_ch_R,p_sup,L_pos_mm,R_pos_mm,F_L,F_R
1768579764.5193822,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.83926391601562,117.0733642578125,120.02735137939453
1768579764.5203881,5.0,5.0,0.0,0.0,0.0,213.90097045898438,200.90029907226562,117.25132751464844,120.13411712646484
1768579764.5213883,5.0,5.0,0.0,0.0,0.0,213.90097045898438,200.90029907226562,117.5716323852539,120.09852600097656
1768579764.522384,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.90029907226562,117.67839813232422,120.27647399902344
1768579764.5233839,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.96133422851562,117.35809326171875,120.20529174804688
1768579764.5243871,5.0,5.0,0.0,0.0,0.0,214.02304077148438,200.96133422851562,117.322509765625,120.13411712646484
1768579764.5253887,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.96133422851562,117.28691864013672,120.02735137939453
1768579764.526388,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.7781982421875,117.5716323852539,120.27647399902344
1768579764.5273876,5.0,5.0,0.0,0.0,0.0,213.47372436523438,200.83926391601562,117.21573638916016,120.20529174804688
1768579764.5283868,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.5340576171875,117.42927551269531,120.45442199707031
1768579764.5293877,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.90029907226562,117.35809326171875,120.20529174804688
1768579764.5303936,5.0,5.0,0.0,0.0,0.0,214.02304077148438,201.20547485351562,117.35809326171875,120.27647399902344
1768579764.5313878,5.0,5.0,0.0,0.0,0.0,213.96200561523438,200.83926391601562,117.35809326171875,120.27647399902344
1768579764.5323875,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.90029907226562,117.39368438720703,120.13411712646484
1768579764.5333872,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.90029907226562,117.42927551269531,120.27647399902344
1768579764.5343878,5.0,5.0,0.0,0.0,0.0,213.41268920898438,200.4730224609375,117.28691864013672,120.38323974609375
1768579764.5353878,5.0,5.0,0.0,0.0,0.0,213.90097045898438,201.20547485351562,117.28691864013672,120.06293487548828
1768579764.5363877,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.96133422851562,117.39368438720703,119.99176025390625
1768579764.5373883,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.7781982421875,117.4648666381836,120.13411712646484
1768579764.5383823,5.0,5.0,0.0,0.0,0.0,213.71786499023438,201.08340454101562,117.42927551269531,120.41883087158203
1768579764.539388,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.90029907226562,117.39368438720703,120.38323974609375
1768579764.540388,5.0,5.0,0.0,0.0,0.0,213.83993530273438,200.7171630859375,117.35809326171875,120.27647399902344
1768579764.5413818,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.7781982421875,117.39368438720703,120.16970825195312
1768579764.5423882,5.0,5.0,0.0,0.0,0.0,213.16851806640625,200.7781982421875,117.28691864013672,120.16970825195312
1768579764.5433857,5.0,5.0,0.0,0.0,0.0,214.20614624023438,200.7781982421875,117.4648666381836,120.27647399902344
1768579764.5443811,5.0,5.0,0.0,0.0,0.0,213.77890014648438,201.08340454101562,117.322509765625,120.02735137939453
